name,component,xval,yval,scale
bar--16mm,01,0.098,0.105,0.8
conn-USB,02,0.285,0.089,1.2
bar--12mm,03,0.489,0.097,0.6
rod--12mm,04,0.693,0.097,0.7
nut--M8,05,0.873,0.103,0.6
rod--8mm,06,0.098,0.295,0.6
conn-WP,07,0.472,0.295,1.6
rod--4mm,08,0.095,0.496,0.5
conn-BNC,09,0.275,0.498,0.7
bar--4mm,10,0.494,0.493,0.5
nut--M4,11,0.684,0.502,0.5
gear-Lg,12,0.867,0.359,1.4
gear-Md,13,0.869,0.494,0.9
gear-Sm,14,0.873,0.582,0.6
nut--M12,15,0.095,0.693,0.7
bar--8mm,16,0.294,0.694,0.5
conn-DSUB,17,0.488,0.68,1.4
rod--16mm,18,0.691,0.691,0.7
conn-RJ45,19,0.088,0.889,0.8
nut--M16,20,0.888,0.896,0.8
